E	Entropy
-0.01931195387503967	-234.3160900986035
-0.019218972169302535	-230.0712082271391
-0.0191259904635654	-225.98395843340563
-0.019033008757828266	-222.0468215175734
-0.01894002705209113	-218.46835052264146
-0.018847045346353997	-214.75464701876223
-0.018754063640616863	-211.18627315580724
-0.01866108193487973	-207.80308736356523
-0.018568100229142594	-204.41033254388563
-0.01847511852340546	-201.0091423126524
-0.018382136817668326	-197.60403394029834
-0.01828915511193119	-194.24470689887735
-0.018196173406194057	-190.91985634589855
-0.018103191700456923	-187.67519962083358
-0.01801020999471979	-184.50543585437973
-0.017917228288982654	-181.4230947279924
-0.01782424658324552	-178.42100647072067
-0.017731264877508385	-175.50956119364173
-0.01763828317177125	-172.6696587467594
-0.017545301466034117	-169.89614916706464
-0.017452319760296982	-167.1910458664922
-0.017359338054559848	-164.55053186188928
-0.017266356348822714	-161.97000156615923
-0.01717337464308558	-159.4553049485722
-0.017080392937348445	-156.990456268874
-0.01698741123161131	-154.57435780610393
-0.016894429525874177	-152.20213423934715
-0.016801447820137042	-149.8718900794061
-0.016708466114399908	-147.5922495306314
-0.016615484408662774	-145.34317310542494
-0.01652250270292564	-143.13239750203059
-0.016429520997188505	-140.95850531765285
-0.01633653929145137	-138.82343385821585
-0.016243557585714236	-136.7226020525372
-0.016150575879977102	-134.64969919509105
-0.016057594174239968	-132.61658393065616
-0.015964612468502833	-130.61250895018776
-0.0158716307627657	-128.64568270106585
-0.015778649057028565	-126.7091655246355
-0.01568566735129143	-124.79178710953612
-0.015592685645554296	-122.9109017393194
-0.015499703939817162	-121.05959536914261
-0.015406722234080027	-119.23520481156187
-0.015313740528342893	-117.43130815519355
-0.015220758822605759	-115.66802317734607
-0.015127777116868624	-113.92351454505304
-0.01503479541113149	-112.20613642043035
-0.014941813705394356	-110.51947399710606
-0.014848831999657221	-108.8499878571162
-0.014755850293920087	-107.21873085932606
-0.014662868588182953	-105.60272351800445
-0.014569886882445818	-104.01089337854309
-0.014476905176708684	-102.44621233554392
-0.01438392347097155	-100.89406183642781
-0.014290941765234415	-99.37712071470766
-0.014197960059497281	-97.87762114077125
-0.014104978353760147	-96.39961110211688
-0.014011996648023013	-94.94282972257258
-0.013919014942285878	-93.51338306111704
-0.013826033236548744	-92.10734166000694
-0.01373305153081161	-90.72049436749805
-0.013640069825074475	-89.35053152676743
-0.013547088119337341	-87.99921912987213
-0.013454106413600207	-86.66793443008478
-0.013361124707863072	-85.3511824228296
-0.013268143002125938	-84.07195840135859
-0.013175161296388804	-82.81067746915545
-0.01308217959065167	-81.56203619527831
-0.012989197884914535	-80.32123164032215
-0.0128962161791774	-79.119558571806
-0.012803234473440266	-77.94398381925336
-0.01271025276770313	-76.75299851491997
-0.012617271061965996	-75.60112828290146
-0.012524289356228862	-74.4859613054247
-0.012431307650491727	-73.32338208916698
-0.012338325944754593	-72.24361622258245
-0.012245344239017459	-71.14289731218578
-0.012152362533280324	-70.09376491976398
-0.01205938082754319	-69.0149448452294
-0.011966399121806056	-67.86904283178744
-0.011873417416068921	-66.85915173923274
-0.011780435710331787	-65.86930198751433
-0.011687454004594653	-64.81713849037098
-0.011594472298857518	-63.85643200815156
-0.011501490593120384	-62.677047069949616
-0.01140850888738325	-61.78965124516036
