Config #    Energy                 Total CNA Profile
1           -39.7711121493887      Dict("(10,34,34)" => 3, "(7,19,19)" => 12, "(6,14,14)" => 7, "(5,10,10)" => 6, "(6,15,15)" => 4, "(10,36,36)" => 3, "(8,23,23)" => 8, "(9,30,30)" => 1, "(11,40,40)" => 3, "(8,24,24)" => 16)
2           -39.77026959048835     Dict("(8,24,24)" => 11, "(7,19,19)" => 11, "(7,18,18)" => 2, "(6,14,14)" => 9, "(5,10,10)" => 2, "(6,15,15)" => 9, "(8,23,23)" => 3, "(11,40,40)" => 3, "(9,29,29)" => 10, "(10,35,35)" => 3)
3           -39.771112149388685    Dict("(10,34,34)" => 3, "(7,19,19)" => 12, "(6,14,14)" => 7, "(5,10,10)" => 6, "(6,15,15)" => 4, "(10,36,36)" => 3, "(8,23,23)" => 8, "(9,30,30)" => 1, "(11,40,40)" => 3, "(8,24,24)" => 16)
4           -39.7711121493887      Dict("(10,34,34)" => 3, "(7,19,19)" => 12, "(6,14,14)" => 7, "(5,10,10)" => 6, "(6,15,15)" => 4, "(10,36,36)" => 3, "(8,23,23)" => 8, "(9,30,30)" => 1, "(11,40,40)" => 3, "(8,24,24)" => 16)
5           -38.826049944021506    Dict("(6,15,15)" => 3, "(8,23,23)" => 8, "(7,18,18)" => 12, "(6,14,14)" => 6, "(11,37,37)" => 1, "(8,24,24)" => 2, "(9,28,28)" => 6, "(5,10,10)" => 14, "(7,19,19)" => 3, "(10,33,33)" => 4, "(9,29,29)" => 1)
6           -38.82555221451858     Dict("(6,15,15)" => 7, "(10,32,32)" => 3, "(8,23,23)" => 8, "(11,38,38)" => 3, "(7,18,18)" => 4, "(6,14,14)" => 5, "(8,24,24)" => 3, "(9,28,28)" => 6, "(5,10,10)" => 12, "(9,30,30)" => 3, "(7,19,19)" => 7)
7           -39.62431441078928     Dict("(6,15,15)" => 2, "(8,23,23)" => 10, "(10,34,34)" => 4, "(11,38,38)" => 1, "(7,18,18)" => 3, "(6,14,14)" => 6, "(8,24,24)" => 6, "(9,28,28)" => 6, "(5,10,10)" => 12, "(9,30,30)" => 1, "(7,19,19)" => 10)
8           -39.625073547598056    Dict("(10,31,31)" => 2, "(10,32,32)" => 2, "(9,26,26)" => 1, "(8,23,23)" => 4, "(8,25,25)" => 2, "(7,18,18)" => 3, "(11,38,38)" => 1, "(6,14,14)" => 7, "(8,24,24)" => 8, "(4,6,6)" => 5, "(9,28,28)" => 2, "(5,10,10)" => 6, "(7,17,17)" => 1, "(7,19,19)" => 9, "(8,22,22)" => 4, "(9,31,31)" => 2, "(9,29,29)" => 2)
