Config #    Energy                 Total CNA Profile
18          -37.821164551707305    Dict("(8,23,23)" => 8, "(11,39,39)" => 1, "(10,34,34)" => 2, "(8,25,25)" => 3, "(7,18,18)" => 4, "(6,14,14)" => 5, "(9,27,27)" => 4, "(9,28,28)" => 1, "(5,10,10)" => 2, "(7,17,17)" => 7, "(6,13,13)" => 7, "(7,19,19)" => 9, "(8,22,22)" => 2, "(10,33,33)" => 2, "(5,9,9)" => 5)
19          -37.53414636037778     Dict("(6,15,15)" => 4, "(8,23,23)" => 4, "(11,39,39)" => 3, "(8,25,25)" => 1, "(6,14,14)" => 7, "(8,24,24)" => 4, "(9,28,28)" => 7, "(5,10,10)" => 12, "(7,17,17)" => 4, "(7,19,19)" => 6, "(8,22,22)" => 4, "(9,29,29)" => 3, "(10,35,35)" => 3)
20          -37.564623585410146    Dict("(8,23,23)" => 9, "(11,35,35)" => 1, "(7,18,18)" => 8, "(6,14,14)" => 12, "(4,6,6)" => 5, "(9,27,27)" => 4, "(9,28,28)" => 2, "(5,10,10)" => 7, "(7,17,17)" => 1, "(6,13,13)" => 4, "(7,19,19)" => 1, "(8,21,21)" => 4)
21          -38.2842559707634      Dict("(7,18,18)" => 20, "(8,22,22)" => 20, "(9,28,28)" => 8, "(5,10,10)" => 12, "(10,32,32)" => 1, "(8,24,24)" => 1)
22          -37.55543601956658     Dict("(6,13,13)" => 15, "(4,6,6)" => 1, "(8,22,22)" => 10, "(6,14,14)" => 7, "(5,10,10)" => 4, "(9,27,27)" => 6, "(7,18,18)" => 2, "(10,32,32)" => 2, "(7,17,17)" => 13, "(11,38,38)" => 1)
23          -38.407716635655646    Dict("(10,30,30)" => 4, "(8,25,25)" => 3, "(6,14,14)" => 9, "(4,6,6)" => 2, "(9,28,28)" => 2, "(5,10,10)" => 7, "(7,17,17)" => 2, "(7,19,19)" => 16, "(6,13,13)" => 8, "(8,22,22)" => 4, "(9,25,25)" => 1, "(11,36,36)" => 1)
24          -38.10314379729535     Dict("(10,30,30)" => 1, "(7,19,19)" => 5, "(10,29,29)" => 2, "(8,22,22)" => 4, "(5,10,10)" => 10, "(6,14,14)" => 18, "(9,25,25)" => 3, "(4,6,6)" => 2, "(7,17,17)" => 10, "(6,13,13)" => 2)
25          -37.71689793399637     Dict("(8,23,23)" => 5, "(7,18,18)" => 9, "(6,14,14)" => 6, "(11,37,37)" => 1, "(4,6,6)" => 3, "(9,27,27)" => 4, "(9,28,28)" => 3, "(5,10,10)" => 4, "(7,17,17)" => 7, "(6,13,13)" => 7, "(7,19,19)" => 2, "(8,22,22)" => 1, "(10,33,33)" => 2, "(5,9,9)" => 4, "(8,21,21)" => 2)
26          -38.158516815923704    Dict("(7,19,19)" => 22, "(8,25,25)" => 1, "(6,14,14)" => 9, "(5,10,10)" => 2, "(9,28,28)" => 3, "(6,15,15)" => 8, "(10,33,33)" => 6, "(8,23,23)" => 6, "(11,39,39)" => 1, "(9,29,29)" => 4)
27          -38.40771663565564     Dict("(10,30,30)" => 4, "(8,25,25)" => 3, "(6,14,14)" => 9, "(4,6,6)" => 2, "(9,28,28)" => 2, "(5,10,10)" => 7, "(7,17,17)" => 2, "(7,19,19)" => 16, "(6,13,13)" => 8, "(8,22,22)" => 4, "(9,25,25)" => 1, "(11,36,36)" => 1)
28          -38.02269256059339     Dict("(7,19,19)" => 7, "(7,20,20)" => 11, "(9,28,28)" => 3, "(5,10,10)" => 1, "(6,15,15)" => 19, "(10,33,33)" => 3, "(9,30,30)" => 7, "(11,39,39)" => 3, "(8,24,24)" => 8)
29          -37.70492261147633     Dict("(6,15,15)" => 1, "(8,23,23)" => 3, "(10,34,34)" => 2, "(7,18,18)" => 6, "(6,14,14)" => 10, "(11,37,37)" => 1, "(8,24,24)" => 7, "(4,6,6)" => 5, "(9,27,27)" => 2, "(5,10,10)" => 4, "(7,17,17)" => 4, "(6,13,13)" => 1, "(7,19,19)" => 6, "(8,21,21)" => 2, "(9,29,29)" => 6)
30          -38.42173239478512     Dict("(8,23,23)" => 3, "(8,25,25)" => 15, "(9,27,27)" => 3, "(4,6,6)" => 2, "(9,28,28)" => 1, "(5,10,10)" => 2, "(9,32,32)" => 2, "(10,36,36)" => 1, "(7,19,19)" => 15, "(6,13,13)" => 4, "(8,22,22)" => 3, "(10,33,33)" => 3, "(5,9,9)" => 4, "(9,29,29)" => 5)
