Config #    Energy                 Similarity Score    Most similar to (Config #; rCut)
1           -39.7711121493887      1.0                  Dict(4 => [1.333, 1.407, 1.481, 1.556, 1.63, 1.704, 1.778, 1.852, 1.926, 2.0], 2 => [1.333, 1.407, 1.481, 1.556], 3 => [1.333, 1.407, 1.481, 1.556, 1.63, 1.704, 1.778, 1.852, 1.926, 2.0])
2           -39.77026959048835     1.0                  Dict(4 => [1.333, 1.407, 1.481, 1.556], 3 => [1.333, 1.407, 1.481, 1.556], 1 => [1.333, 1.407, 1.481, 1.556])
3           -39.771112149388685    1.0                  Dict(4 => [1.333, 1.407, 1.481, 1.556, 1.63, 1.704, 1.778, 1.852, 1.926, 2.0], 2 => [1.333, 1.407, 1.481, 1.556], 1 => [1.333, 1.407, 1.481, 1.556, 1.63, 1.704, 1.778, 1.852, 1.926, 2.0])
4           -39.7711121493887      1.0                  Dict(2 => [1.333, 1.407, 1.481, 1.556], 3 => [1.333, 1.407, 1.481, 1.556, 1.63, 1.704, 1.778, 1.852, 1.926, 2.0], 1 => [1.333, 1.407, 1.481, 1.556, 1.63, 1.704, 1.778, 1.852, 1.926, 2.0])
7           -39.62431441078928     1.0                  Dict(8 => [1.333, 1.407, 1.481, 1.556])
8           -39.625073547598056    1.0                  Dict(7 => [1.333, 1.407, 1.481, 1.556])
5           -38.826049944021506    0.921                Dict(4 => [1.333, 1.407, 1.481, 1.556], 2 => [1.333, 1.407, 1.481, 1.556], 3 => [1.333, 1.407, 1.481, 1.556], 1 => [1.333, 1.407, 1.481, 1.556])
6           -38.82555221451858     0.895                Dict(5 => [1.333, 1.407, 1.481, 1.556])
