Config #    Energy                 Similarity Score    Most similar to (Config #; rCut)
25          -37.71689793399637     1.0                  Dict(4 => [1.333, 1.407, 1.481, 1.556], 6 => [1.333, 1.407, 1.481, 1.556, 1.63, 1.704, 1.778, 1.852, 1.926, 2.0], 20 => [1.333, 1.407, 1.481, 1.556], 2 => [1.333, 1.407, 1.481, 1.556], 10 => [1.333, 1.407, 1.481, 1.556], 18 => [1.333, 1.407, 1.481, 1.556], 9 => [1.333, 1.407, 1.481, 1.556], 12 => [1.333, 1.407, 1.481, 1.556], 17 => [1.333, 1.407, 1.481, 1.556, 1.63, 1.704, 1.778, 1.852, 1.926, 2.0])
26          -38.158516815923704    1.0                  Dict(1 => [1.333, 1.407])
27          -38.40771663565564     1.0                  Dict(23 => [1.333, 1.407, 1.481, 1.556, 1.63, 1.704, 1.778, 1.852, 1.926, 2.0])
29          -37.70492261147633     1.0                  Dict(11 => [1.333, 1.407, 1.481, 1.556])
22          -37.55543601956658     0.919                Dict(30 => [1.333, 1.407, 1.481, 1.556])
30          -38.42173239478512     0.919                Dict(22 => [1.333, 1.407, 1.481, 1.556])
16          -38.36089804821316     0.897                Dict(26 => [1.333, 1.407], 1 => [1.333, 1.407])
24          -38.10314379729535     0.829                Dict(27 => [1.407], 23 => [1.407])
19          -37.53414636037778     0.825                Dict(16 => [1.333, 1.407])
28          -38.02269256059339     0.818                Dict(24 => [1.481])
